Family,Method,Precision,Forget Q&A Prob,Forget Truth Ratio,Model Utility
Baseline,Pretrained (no fine-tuning),FP16,0.08127432777118677,0.9853130765245771,0.08234405459962572
MaxEnt,MaxEnt,FP16,0.0009333997952186573,0.002002551321564569,0.4083568850283038
MaxEnt,MaxEnt,INT4,0.0011667565951798554,0.00280960540677679,0.36523033587538795
MaxEnt,MaxEnt + Distilled,FP16,0.22434427554706105,0.5051586040116554,0.43525478681667956
MaxEnt,MaxEnt + Distilled,INT4,0.18646877812870585,0.5040901618607366,0.3673908637953218
UNDO,UNDO,FP16,0.000831206638431057,0.0010882729386326106,0.48122725482228085
UNDO,UNDO,INT4,0.0008783596034133269,0.0013631148442742609,0.43385178388149065
UNDO,UNDO + Distilled,FP16,0.17261915168302763,0.4825996149977257,0.3409542243791275
UNDO,UNDO + Distilled,INT4,0.14991442403605862,0.4790251399672287,0.3008938198492165
